date,open,high,low,close
2014-07-02,962.545,966.924,957.42,966.924
2014-07-03,966.508,975.482,964.153,972.817
2014-07-04,974.67,975.234,970.413,972.03
2014-07-07,973.232,976.53,966.499,969.689
2014-07-08,968.431,975.806,960.595,975.796
2014-07-09,974.158,976.857,959.716,959.716
2014-07-10,959.128,962.864,951.626,953.196
2014-07-11,952.295,961.815,951.572,959.141
2014-07-14,960.457,969.358,957.337,969.358
2014-07-15,968.852,971.04,960.364,966.433
2014-07-16,964.924,967.52,951.977,955.865
2014-07-17,954.866,954.866,943.977,949.258
2014-07-18,946.777,956.15,945.762,950.542
2014-07-21,951.472,953.552,945.551,951.052
2014-07-22,950.219,962.445,949.558,962.445
2014-07-23,962.347,964.157,948.703,952.421
2014-07-24,952.285,954.959,936.953,946.073
2014-07-25,946.816,956.185,946.816,956.183
2014-07-28,959.134,974.57,959.134,973.888
2014-07-29,974.473,989.877,973.175,986.575
2014-07-30,985.865,992.435,984.195,991.641
2014-07-31,990.789,998.783,988.448,998.783
2014-08-01,995.503,1001.804,986.221,987.443
2014-08-04,989.366,1000.557,988.709,1000.557
2014-08-05,1001.817,1008.477,995.72,1008.477
2014-08-06,1005.691,1015.595,1001.823,1014.159
2014-08-07,1014.919,1019.923,1004.979,1005.307
2014-08-08,1005.62,1015.269,1005.62,1013.08
2014-08-11,1015.691,1028.278,1015.691,1028.278
2014-08-12,1028.381,1033.406,1025.855,1033.406
2014-08-13,1033.669,1036.921,1021.63,1033.028
2014-08-14,1032.311,1038.588,1026.932,1027.466
2014-08-15,1027.904,1041.351,1026.216,1039.296
2014-08-18,1042.106,1054.409,1042.106,1054.409
2014-08-19,1055.803,1060.068,1050.612,1057.406
2014-08-20,1056.77,1063.136,1053.425,1056.472
2014-08-21,1057.281,1058.774,1043.99,1057.129
2014-08-22,1055.99,1065.531,1055.045,1064.357
2014-08-25,1066.284,1066.361,1054.914,1058.334
2014-08-26,1056.931,1061.395,1038.117,1041.667
2014-08-27,1041.963,1052.313,1041.963,1050.029
2014-08-28,1049.83,1052.314,1037.0,1040.428
2014-08-29,1040.132,1051.736,1038.749,1051.736
2014-09-01,1053.572,1069.932,1053.572,1069.932
2014-09-02,1072.378,1083.42,1071.144,1083.42
2014-09-03,1086.871,1094.325,1083.839,1092.626
